Category,Rating,Reviews,Size,Installs,Type,Content Rating
ART_AND_DESIGN,4.1,159,19000,"10,000",Free,Everyone
ART_AND_DESIGN,3.9,967,14000,"100,000",Free,Everyone
ART_AND_DESIGN,4.7,87510,8700,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.5,215644,25000,"10,000,000",Free,Teen
ART_AND_DESIGN,4.3,967,2800,"100,000",Free,Everyone
ART_AND_DESIGN,4.4,167,5600,"10,000",Free,Everyone
ART_AND_DESIGN,3.8,178,19000,"10,000",Free,Everyone
ART_AND_DESIGN,4.1,36815,29000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.4,13791,33000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.7,121,3100,"10,000",Free,Everyone
ART_AND_DESIGN,4.4,13880,28000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.4,8788,12000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.2,44829,20000,"10,000,000",Free,Teen
ART_AND_DESIGN,4.6,4326,21000,"100,000",Free,Everyone
ART_AND_DESIGN,4.4,1518,37000,"100,000",Free,Everyone
ART_AND_DESIGN,3.2,55,2700,"1,000",Free,Everyone
ART_AND_DESIGN,4.7,3632,5500,"100,000",Free,Everyone
ART_AND_DESIGN,4.5,27,17000,"10,000",Free,Everyone
ART_AND_DESIGN,4.3,194216,39000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.6,224399,31000,"10,000,000",Free,Everyone
ART_AND_DESIGN,4,450,14000,"100,000",Free,Everyone
ART_AND_DESIGN,4.1,654,12000,"100,000",Free,Everyone
ART_AND_DESIGN,4.7,7699,4200,"100,000",Free,Everyone 10+
ART_AND_DESIGN,0,61,7000,"100,000",Free,Everyone
ART_AND_DESIGN,4.7,118,23000,"10,000",Free,Everyone
ART_AND_DESIGN,4.8,192,6000,"10,000",Free,Everyone
ART_AND_DESIGN,4.7,20260,25000,"100,000",Free,Everyone
ART_AND_DESIGN,4.1,203,6100,"100,000",Free,Everyone
ART_AND_DESIGN,3.9,136,4600,"10,000",Free,Everyone
ART_AND_DESIGN,4.1,223,4200,"100,000",Free,Everyone
ART_AND_DESIGN,4.2,1120,9200,"100,000",Free,Everyone
ART_AND_DESIGN,4.1,227,5200,"10,000",Free,Everyone
ART_AND_DESIGN,4.5,5035,11000,"100,000",Free,Everyone
ART_AND_DESIGN,4.2,1015,11000,"100,000",Free,Everyone
ART_AND_DESIGN,4.7,353,4200,"10,000",Free,Teen
ART_AND_DESIGN,3.8,564,9200,"100,000",Free,Everyone
ART_AND_DESIGN,4.7,8145,24000,"100,000",Free,Everyone
ART_AND_DESIGN,4.1,36639,11000,"1,000,000",Free,Everyone
ART_AND_DESIGN,4.7,158,9400,"10,000",Free,Everyone
ART_AND_DESIGN,4,591,15000,"100,000",Free,Everyone
ART_AND_DESIGN,4.2,117,10000,"10,000",Free,Everyone
ART_AND_DESIGN,4.5,176,1200,"100,000",Free,Everyone
ART_AND_DESIGN,4.4,295221,12000,"10,000,000",Free,Everyone
ART_AND_DESIGN,3.8,2206,24000,"100,000",Free,Everyone
ART_AND_DESIGN,4.2,26,26000,"10,000",Free,Everyone
ART_AND_DESIGN,4.7,174531,8000,"10,000,000",Free,Everyone
ART_AND_DESIGN,4.6,1070,7900,"100,000",Free,Everyone
ART_AND_DESIGN,4.2,85,25000,"100,000",Free,Everyone
ART_AND_DESIGN,4.3,845,56000,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4.2,367,57000,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4,1598,35000,"1,000,000",Free,Everyone
AUTO_AND_VEHICLES,3.8,284,33000,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4.6,17057,33000,"1,000,000",Free,Everyone
AUTO_AND_VEHICLES,3.9,129,5600,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4.3,542,54000,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4.9,10479,3600,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4.4,805,5700,"10,000",Free,Everyone
AUTO_AND_VEHICLES,4.2,129,17000,"100,000",Free,Everyone
AUTO_AND_VEHICLES,4,1403,8600,"100,000",Free,Everyone
AUTO_AND_VEHICLES,3.9,3971,2400,"100,000",Free,Everyone
